Participant	Frame	Preview	Sign	Pre_Target_Skip	FFD_ms	GD_ms	TRT_ms	Reading_Scores	AOA	Group
6	28	COR	Identical	0	240	560	1271	192	0	Deaf
6	29	SIGN	HL	0	281	583	918	192	0	Deaf
6	30	UNR	Unrelated	1	239	645	1777	192	0	Deaf
6	31	COR	Identical	1	238	238	849	192	0	Deaf
6	32	SIGN	HL	0	369	369	799	192	0	Deaf
6	33	UNR	Unrelated	0	435	549	2297	192	0	Deaf
6	34	COR	Identical	0	278	555	1102	192	0	Deaf
6	35	SIGN	HL	1	637	637	1133	192	0	Deaf
6	36	UNR	Unrelated	1	492	492	1040	192	0	Deaf
6	37	COR	Identical	1	287	554	960	192	0	Deaf
6	38	SIGN	HL	0	388	388	1763	192	0	Deaf
6	39	UNR	Unrelated	0	392	392	675	192	0	Deaf
6	40	COR	Identical	0	259	259	808	192	0	Deaf
6	41	SIGN	HM	1	297	341	1640	192	0	Deaf
6	42	UNR	Unrelated	0	189	400	1514	192	0	Deaf
6	43	COR	Identical	0	326	495	530	192	0	Deaf
6	44	SIGN	HM	0	387	609	835	192	0	Deaf
6	45	UNR	Unrelated	0	391	391	651	192	0	Deaf
6	46	COR	Identical	0	354	354	834	192	0	Deaf
6	47	SIGN	HM	1	220	220	1047	192	0	Deaf
6	48	UNR	Unrelated	1	246	416	872	192	0	Deaf
6	49	COR	Identical	1	277	540	794	192	0	Deaf
6	50	SIGN	HM	0	437	697	1637	192	0	Deaf
6	51	UNR	Unrelated	0	222	222	1587	192	0	Deaf
6	52	COR	Identical	0	369	821	1602	192	0	Deaf
6	53	SIGN	HM	0	339	384	867	192	0	Deaf
6	54	UNR	Unrelated	0	209	333	693	192	0	Deaf
6	55	COR	Identical	0	115	468	733	192	0	Deaf
6	56	SIGN	HM	0	181	181	663	192	0	Deaf
6	57	UNR	Unrelated	0	389	389	788	192	0	Deaf
6	58	COR	Identical	0	300	522	1226	192	0	Deaf
6	59	SIGN	HM	0	516	516	1610	192	0	Deaf
